mag_id	full_id	raw_mag_id	origin	type	clean_id	raw_id	domain	phylum	class	order	family	genus	species	Completeness	Contamination	Coverage	Quality	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	n_bases	studyId	sampleId	runId
Empedobacter_falsenii_MQ_bin.3.DO_IRD_Fa_MM2_2.strict.fa	Emp_fal_MQ_FMM2	bin.3.DO_IRD_Fa_MM2_2.strict	couscous	couscous	FMM2	DO_IRD_Fa_MM2_2	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Weeksellaceae	Empedobacter	Empedobacter falsenii	63.58	2.21	5.63	MQ	5774	255.4192308	1774466	0.32	2080	449	52505	9994279	ERP189200	ERS29072661	ERR16930739
Klebsiella_pneumoniae_HQ_bin.10.DO_IRD_Fa_MM2_4.strict.fa	Kle.pne_HQ_FMM4	bin.10.DO_IRD_Fa_MM2_4.strict	couscous	couscous	FMM4	DO_IRD_Fa_MM2_4	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	99.84	0.96	8.85	HQ	32514	295.1355932	4940600	0.58	4956	495	298230	43713502	ERP189200	ERS29072662	ERR16930808
Kosakonia_cowanii_MQ_bin.1.DO_IRD_Fa_Mi2_2.strict.fa	Kos.cow_MQ_FMi02	bin.1.DO_IRD_Fa_Mi2_2.strict	couscous	couscous	FMi02	DO_IRD_Fa_Mi2_2	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Kosakonia	Kosakonia cowanii	80.05	7.74	14.41	MQ	21340	294.3957879	4106603	0.57	4131	490	84137	59182568	ERP189200	ERS29072662	ERR16930808
Kurthia_gibsonii_MQ_bin.4.DO_IRD_Fa_MM2_2.strict.fa	Kur.gib_MQ_FMM2	bin.4.DO_IRD_Fa_MM2_2.strict	couscous	couscous	FMM2	DO_IRD_Fa_MM2_2	Bacteria	Bacillota	Bacilli	Bacillales_A	Planococcaceae	Kurthia	Kurthia gibsonii	59.84	0.77	6.62	MQ	12328	262.6060268	1596397	0.37	1792	229	58349	10563452	ERP189200	ERS29072662	ERR16930808
Lactiplantibacillus_plantarum_MQ_bin.5.DO_IRD_Fa_So2_1.strict.fa	Ltp.pla_MQ_FSo01	bin.5.DO_IRD_Fa_So2_1.strict	couscous	couscous	FSo01	DO_IRD_Fa_So2_1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	Lactiplantibacillus plantarum	85.49	3.54	7.45	MQ	14622	269.8532689	2570193	0.45	2692	325	58143	19144307	ERP189200	ERS29072662	ERR16930808
Lactococcus_lactis_MQ_bin.2.DO_IRD_Fa_MM2_4.strict.fa	Lco.lac_MQ_FMM4	bin.2.DO_IRD_Fa_MM2_4.strict	couscous	couscous	FMM4	DO_IRD_Fa_MM2_4	Bacteria	Bacillota	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	76.61	2.29	8.91	MQ	5762	233.303649	1886474	0.35	2302	495	34930	16807547	ERP189200	ERS29072662	ERR16930808
Limosilactobacillus_fermentum_HQ_bin.1.DO_IRD_Fa_So2_3.strict.fa	Lim.fer_HQ_FSo03	bin.1.DO_IRD_Fa_So2_3.strict	couscous	couscous	FSo03	DO_IRD_Fa_So2_3	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	99.07	0.05	9.15	HQ	35222	290.4541642	1662818	0.53	1669	97	77768	15206521	ERP189200	ERS29072662	ERR16930808
Limosilactobacillus_fermentum_HQ_bin.2.DO_IRD_Fa_So2_2.strict.fa	Lim.fer_HQ_FSo02	bin.2.DO_IRD_Fa_So2_2.strict	couscous	couscous	FSo02	DO_IRD_Fa_So2_2	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	99.8	3.49	33.99	HQ	41087	255.8366738	2137023	0.51	2345	379	150360	72632482	ERP189200	ERS29072662	ERR16930808
Limosilactobacillus_fermentum_HQ_bin.7.DO_IRD_Fa_MM1_3.strict.fa	Lim.fer_HQ_RMM3	bin.7.DO_IRD_Fa_MM1_3.strict	couscous	couscous	RMM3	DO_IRD_Fa_MM1_3	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	99.94	4.53	84.67	HQ	57852	284.6615226	1959197	0.52	1944	191	180081	165879188	ERP189200	ERS29072662	ERR16930808
Limosilactobacillus_fermentum_HQ_bin.8.DO_IRD_Fa_So2_1.strict.fa	Lim.fer_HQ_FSo01	bin.8.DO_IRD_Fa_So2_1.strict	couscous	couscous	FSo01	DO_IRD_Fa_So2_1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	99.86	0.4	22.00	HQ	35521	274.0303468	2008240	0.52	2076	251	150707	44185946	ERP189200	ERS29072663	ERR16930809
Limosilactobacillus_fermentum_MQ_bin.4.DO_IRD_Fa_Ma2_3.strict.fa	Lim.fer_MQ_FMa03	bin.4.DO_IRD_Fa_Ma2_3.strict	couscous	couscous	FMa03	DO_IRD_Fa_Ma2_3	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	74.23	0.38	5.94	MQ	6382	257.0695067	1172270	0.53	1338	251	27848	6966918	ERP189200	ERS29072663	ERR16930809
Limosilactobacillus_fermentum_MQ_bin.5.DO_IRD_Fa_So2_4.strict.fa	Lim.fer_MQ_FSo04	bin.5.DO_IRD_Fa_So2_4.strict	couscous	couscous	FSo04	DO_IRD_Fa_So2_4	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	98.72	6.24	82.05	MQ	52219	270.154901	1883140	0.52	1969	280	149925	154508164	ERP189200	ERS29072663	ERR16930809
Limosilactobacillus_fermentum_MQ_bin.8.DO_IRD_Fa_Ma2_4.strict.fa	Lim.fer_MQ_FMa04	bin.8.DO_IRD_Fa_Ma2_4.strict	couscous	couscous	FMa04	DO_IRD_Fa_Ma2_4	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum	79.51	0.79	6.49	MQ	2258	217.3279603	1224416	0.52	1613	613	15171	7944542	ERP189200	ERS29072649	ERR16930815
Limosilactobacillus_pontis_HQ_bin.3.DO_IRD_Fa_MM1_3.strict.fa	Lim.pon_HQ_RMM3	bin.3.DO_IRD_Fa_MM1_3.strict	couscous	couscous	RMM3	DO_IRD_Fa_MM1_3	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus pontis	95.99	0.17	7.54	HQ	34919	292.8381389	1511123	0.54	1526	85	88141	11400038	ERP189200	ERS29072650	ERR16930816
Limosilactobacillus_pontis_HQ_bin.5.DO_IRD_Fa_So2_2.strict.fa	Lim.pon_HQ_RMM4	bin.5.DO_IRD_Fa_So2_2.strict	couscous	couscous	FSo02	DO_IRD_Fa_So2_2	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus pontis	94.48	2.74	9.89	HQ	28407	276.5526466	1681057	0.54	1757	195	129969	16628376	ERP189200	ERS29072650	ERR16930816
Limosilactobacillus_pontis_MQ_bin.3.DO_IRD_Fa_So2_1.strict.fa	Lim.pon_HQ_RMM6	bin.3.DO_IRD_Fa_So2_1.strict	couscous	couscous	FSo01	DO_IRD_Fa_So2_1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus pontis	74.55	0.23	14.07	MQ	30209	285.345995	1176049	0.54	1211	78	108444	16548147	ERP189200	ERS29072650	ERR16930816
Limosilactobacillus_pontis_MQ_bin.5.DO_IRD_Fa_MM2_2.strict.fa	Lim.pon_HQ_RMM7	bin.5.DO_IRD_Fa_MM2_2.strict	couscous	couscous	FMM2	DO_IRD_Fa_MM2_2	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus pontis	82.24	3.07	11.33	MQ	34017	283.2548878	1317830	0.54	1381	129	105196	14928067	ERP189200	ERS29072650	ERR16930816
Pantoea_dispersa_MQ_bin.1.DO_IRD_Fa_Mi2_3.strict.fa	Pan.dis_MQ_FMi03	bin.1.DO_IRD_Fa_Mi2_3.strict	couscous	couscous	FMi03	DO_IRD_Fa_Mi2_3	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea dispersa	72.09	1.53	6.95	MQ	10455	276.4212792	3039568	0.59	3252	545	39503	21117188	ERP189200	ERS29072651	ERR16930817
Pantoea_dispersa_MQ_bin.4.DO_IRD_Fa_Mi2_2.strict.fa	Pan.dis_MQ_FMi02	bin.4.DO_IRD_Fa_Mi2_2.strict	couscous	couscous	FMi02	DO_IRD_Fa_Mi2_2	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Pantoea	Pantoea dispersa	81.18	4.4	5.33	MQ	8513	269.53432	3555755	0.59	3919	754	40208	18964456	ERP189200	ERS29072651	ERR16930817
Pediococcus_pentosaceus_HQ_bin.2.DO_IRD_Fa_Ma2_4.strict.fa	Ped.pen_HQ_FMa04	bin.2.DO_IRD_Fa_Ma2_4.strict	couscous	couscous	FMa04	DO_IRD_Fa_Ma2_4	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	99.95	0.32	7.13	HQ	69017	294.6518272	1485890	0.37	1505	75	147672	10592750	ERP189200	ERS29072651	ERR16930817
Pediococcus_pentosaceus_HQ_bin.4.DO_IRD_Fa_MM2_3.strict.fa	Ped.pen_HQ_FMM3	bin.4.DO_IRD_Fa_MM2_3.strict	couscous	couscous	FMM3	DO_IRD_Fa_MM2_3	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	99.52	2.65	13.95	HQ	69891	279.3232446	1569343	0.37	1652	140	185948	21892032	ERP189200	ERS29072651	ERR16930817
Pediococcus_pentosaceus_HQ_bin.7.DO_IRD_Fa_So2_1.strict.fa	Ped.pen_HQ_FSo01	bin.7.DO_IRD_Fa_So2_1.strict	couscous	couscous	FSo01	DO_IRD_Fa_So2_1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	99.05	0.23	11.67	HQ	81159	290.8722187	1536448	0.37	1573	100	263728	17925547	ERP189200	ERS29072651	ERR16930817
Pediococcus_pentosaceus_MQ_bin.10.DO_IRD_Fa_MM2_2.strict.fa	Ped.pen_MQ_FMM2	bin.10.DO_IRD_Fa_MM2_2.strict	couscous	couscous	FMM2	DO_IRD_Fa_MM2_2	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	94.85	9.01	25.40	MQ	16246	244.5342122	2728347	0.38	3186	626	165655	69292947	ERP189200	ERS29072652	ERR16930818
Pediococcus_pentosaceus_MQ_bin.5.DO_IRD_Fa_MM1_3.strict.fa	Ped.pen_MQ_RMM3	bin.5.DO_IRD_Fa_MM1_3.strict	couscous	couscous	RMM3	DO_IRD_Fa_MM1_3	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	53.54	1.21	20.41	MQ	77756	289.0542453	818813	0.37	848	54	186000	16712088	ERP189200	ERS29072652	ERR16930818
Pediococcus_pentosaceus_MQ_bin.5.DO_IRD_Fa_MM2_1.strict.fa	Ped.pen_MQ_FMM1	bin.5.DO_IRD_Fa_MM2_1.strict	couscous	couscous	FMM1	DO_IRD_Fa_MM2_1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	69.75	3.68	9.68	MQ	4702	237.9477163	1348631	0.37	1664	380	29389	13059151	ERP189200	ERS29072653	ERR16930972
Pediococcus_pentosaceus_MQ_bin.6.DO_IRD_Fa_Ma2_1.strict.fa	Ped.pen_MQ_FMa01	bin.6.DO_IRD_Fa_Ma2_1.strict	couscous	couscous	FMa01	DO_IRD_Fa_Ma2_1	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	67.74	1.01	6.54	MQ	3921	237.1961982	1171416	0.38	1473	370	17362	7655455	ERP189200	ERS29072653	ERR16930972
Pediococcus_pentosaceus_MQ_bin.6.DO_IRD_Fa_MM2_4.strict.fa	Ped.pen_MQ_FMM4	bin.6.DO_IRD_Fa_MM2_4.strict	couscous	couscous	FMM4	DO_IRD_Fa_MM2_4	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	70.56	3.01	7.39	MQ	5361	244.1558442	1206488	0.37	1463	323	34665	8914690	ERP189200	ERS29072653	ERR16930972
Rothia_koreensis_HQ_bin.2.DO_IRD_Fa_MM1_1.strict.fa	Rot.kor_HQ_RMM1	bin.2.DO_IRD_Fa_MM1_1.strict	couscous	couscous	RMM1	DO_IRD_Fa_MM1_1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia koreensis	99.4	0.02	9.09	HQ	47462	333.4772908	2808339	0.65	2510	102	191777	25537244	ERP189200	ERS29072679	ERR16916854
Rothia_koreensis_HQ_bin.4.DO_IRD_Fa_MM1_4.strict.fa	Rot.kor_HQ_RMM4	bin.4.DO_IRD_Fa_MM1_4.strict	couscous	couscous	RMM4	DO_IRD_Fa_MM1_4	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia koreensis	91.06	0.06	6.62	HQ	13395	316.5665597	2646946	0.65	2494	264	74021	17530076	ERP189200	ERS29072679	ERR16916854
Rothia_koreensis_MQ_bin.11.DO_IRD_Fa_So2_1.strict.fa	Rot.kor_MQ_FSo01	bin.11.DO_IRD_Fa_So2_1.strict	couscous	couscous	FSo01	DO_IRD_Fa_So2_1	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia koreensis	64.58	4.32	4.96	MQ	3989	269.2073055	1904792	0.65	2108	553	19787	9449711	ERP189200	ERS29072679	ERR16916854
Rothia_koreensis_MQ_bin.3.DO_IRD_Fa_MM1_2.strict.fa	Rot.kor_MQ_RMM2	bin.3.DO_IRD_Fa_MM1_2.strict	couscous	couscous	RMM2	DO_IRD_Fa_MM1_2	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia koreensis	72.03	0.06	13.80	MQ	126074	339.8074195	2095612	0.65	1833	32	500817	28909516	ERP189200	ERS29072679	ERR16916854
Rothia_koreensis_MQ_bin.5.DO_IRD_Fa_MM2_4.strict.fa	Rot.kor_MQ_FMM4	bin.5.DO_IRD_Fa_MM2_4.strict	couscous	couscous	FMM4	DO_IRD_Fa_MM2_4	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia koreensis	75.84	0.04	5.54	MQ	7170	298.2845118	2377452	0.65	2376	434	28829	13166079	ERP189200	ERS29072679	ERR16916854
Rothia_koreensis_MQ_bin.7.DO_IRD_Fa_MM1_5.strict.fa	Rot.kor_MQ_RMM5	bin.7.DO_IRD_Fa_MM1_5.strict	couscous	couscous	RMM5	DO_IRD_Fa_MM1_5	Bacteria	Actinomycetota	Actinomycetes	Actinomycetales	Micrococcaceae	Rothia	Rothia koreensis	89.92	0.25	6.48	MQ	17386	321.8074311	2702594	0.65	2503	230	75045	17516978	ERP189200	ERS29072680	ERR16916855
Staphylococcus_gallinarum_HQ_bin.1.DO_IRD_Fa_MM1_1.strict.fa	Sta.gal_HQ_RMM1	bin.1.DO_IRD_Fa_MM1_1.strict	couscous	couscous	RMM1	DO_IRD_Fa_MM1_1	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum	95.68	3.57	17.19	HQ	93666	293.0211833	2861616	0.33	2738	134	270718	49178200	ERP189200	ERS29072680	ERR16916855
Staphylococcus_gallinarum_HQ_bin.2.DO_IRD_Fa_MM1_2.strict.fa	Sta.gal_HQ_RMM2	bin.2.DO_IRD_Fa_MM1_2.strict	couscous	couscous	RMM2	DO_IRD_Fa_MM1_2	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum	99.9	1.41	22.14	HQ	131042	293.8578089	2679162	0.33	2574	68	724446	59304174	ERP189200	ERS29072680	ERR16916855
Staphylococcus_gallinarum_HQ_bin.4.DO_IRD_Fa_MM2_5.strict.fa	Sta.gal_HQ_FMM5	bin.4.DO_IRD_Fa_MM2_5.strict	couscous	couscous	FMM5	DO_IRD_Fa_MM2_5	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum	99.99	0.66	13.70	HQ	72519	270.9192112	3061731	0.34	3144	359	239893	41942073	ERP189200	ERS29072680	ERR16916855
Staphylococcus_gallinarum_HQ_bin.4.DO_IRD_Fa_So2_4.strict.fa	Sta.gal_HQ_FSo04	bin.4.DO_IRD_Fa_So2_4.strict	couscous	couscous	FSo04	DO_IRD_Fa_So2_4	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum	95.81	4.87	12.84	HQ	38053	265.8562891	3378158	0.33	3514	391	161155	43389357	ERP189200	ERS29072680	ERR16916855
Staphylococcus_gallinarum_HQ_bin.6.DO_IRD_Fa_MM1_5.strict.fa	Sta.gal_HQ_RMM5	bin.6.DO_IRD_Fa_MM1_5.strict	couscous	couscous	RMM5	DO_IRD_Fa_MM1_5	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum	95.12	1.79	11.53	HQ	105607	295.7648221	2660675	0.33	2530	95	182243	30679976	ERP189200	ERS29072680	ERR16916855
Staphylococcus_gallinarum_MQ_bin.3.DO_IRD_Fa_Ma2_4.strict.fa	Sta.gal_MQ_FMa04	bin.3.DO_IRD_Fa_Ma2_4.strict	couscous	couscous	FMa04	DO_IRD_Fa_Ma2_4	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum	85.66	4.16	8.03	MQ	6017	231.4602443	3651750	0.33	4339	936	44569	29338813	ERP189200	ERS29072680	ERR16916855
Staphylococcus_gallinarum_MQ_bin.3.DO_IRD_Fa_MM1_4.strict.fa	Sta.gal_MQ_RMM4	bin.3.DO_IRD_Fa_MM1_4.strict	couscous	couscous	RMM4	DO_IRD_Fa_MM1_4	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum	94.62	9.94	13.38	MQ	76133	279.4836329	3118278	0.33	3116	238	196553	41723814	ERP189200	ERS29072680	ERR16916855
Staphylococcus_gallinarum_MQ_bin.6.DO_IRD_Fa_MM1_3.strict.fa	Sta.gal_MQ_RMM3	bin.6.DO_IRD_Fa_MM1_3.strict	couscous	couscous	RMM3	DO_IRD_Fa_MM1_3	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus gallinarum	81.22	2.47	7.53	MQ	42736	294.1940713	2257751	0.34	2159	164	143726	16997962	ERP189200	ERS29072681	ERR16916864
Staphylococcus_kloosii_HQ_bin.1.DO_IRD_Fa_Ma2_1.strict.fa	Sta.klo_HQ_FMa01	bin.1.DO_IRD_Fa_Ma2_1.strict	couscous	couscous	FMa01	DO_IRD_Fa_Ma2_1	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus kloosii	95.92	0.59	11.95	HQ	34331	265.4863621	2863551	0.33	3043	359	280381	34215278	ERP189200	ERS29072681	ERR16916864
Staphylococcus_kloosii_HQ_bin.1.DO_IRD_Fa_MM1_2.strict.fa	Sta.klo_HQ_RMM2	bin.1.DO_IRD_Fa_MM1_2.strict	couscous	couscous	RMM2	DO_IRD_Fa_MM1_2	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus kloosii	96.47	0.27	46.91	HQ	90463	284.3974409	2554790	0.33	2579	132	286460	119838020	ERP189200	ERS29072681	ERR16916864
Staphylococcus_kloosii_HQ_bin.1.DO_IRD_Fa_MM2_1.strict.fa	Sta.klo_HQ_FMM1	bin.1.DO_IRD_Fa_MM2_1.strict	couscous	couscous	FMM1	DO_IRD_Fa_MM2_1	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus kloosii	99.95	0.12	18.84	HQ	67639	271.4400673	2855662	0.33	2970	276	408260	53810329	ERP189200	ERS29072681	ERR16916864
Staphylococcus_kloosii_HQ_bin.1.DO_IRD_Fa_MM2_4.strict.fa	Sta.klo_HQ_FMM4	bin.1.DO_IRD_Fa_MM2_4.strict	couscous	couscous	FMM4	DO_IRD_Fa_MM2_4	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus kloosii	99.51	1.67	40.63	HQ	55823	268.0925734	2737297	0.33	2895	349	193239	111212879	ERP189200	ERS29072682	ERR16918865
Staphylococcus_kloosii_HQ_bin.1.DO_IRD_Fa_MM2_5.strict.fa	Sta.klo_HQ_FMM5	bin.1.DO_IRD_Fa_MM2_5.strict	couscous	couscous	FMM5	DO_IRD_Fa_MM2_5	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus kloosii	91.38	1.13	25.30	HQ	38525	256.4946032	2887867	0.33	3150	470	241404	73057137	ERP189200	ERS29072682	ERR16918865
Staphylococcus_kloosii_HQ_bin.2.DO_IRD_Fa_Ma2_2.strict.fa	Sta.klo_HQ_FMa02	bin.2.DO_IRD_Fa_Ma2_2.strict	couscous	couscous	FMa02	DO_IRD_Fa_Ma2_2	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus kloosii	99.89	0.44	9.54	HQ	56837	277.93213	2690066	0.33	2770	179	269019	25659357	ERP189200	ERS29072682	ERR16918865
